"product";"subject";"Pentanal";"Toluene";"Pentane.2.3.dione";"Hexanal.";"X.E..Pent.2.enal";"X1.Penten.3.ol";"X2.Heptanone";"Heptanal";"X2.pentylfuran";"X1.Dodecene";"Pentanol";"X2.octanone";"Octanal";"X1.hydroxypropan.2.one";"X1.octen.3.one";"Ethyl.N.N.Diethylcarbamate";"X.Z..Pent.2.en.1.ol";"X.E..Hept.2.enal";"X6.methylhept.5.en.2.one";"Hexanol";"X2.Nonanone";"Nonanal";"X3.Octen.2.one";"X5.Ethyl.1.formylcyclopentene";"X.E..Oct.2.enal";"X.N.N.diethylFormamide";"X1.Octen.3.ol";"Acetic.acid";"heptanol";"Hepta.2.4.dienal..unknown.isomer.";"Hepta.2.4.dienal..unknown.isomer..1";"Octa.3.5.dien.2.one..unknown.isomer.";"benzaldehyde";"X.E..Non.2.enal";"X1.Octanol.";"Octa.3.5.dien.2.one..unknown.isomer..1";"X.E..Dec.2.enal";"E.E.2.4.nonadienal";"Dodecanal";"X1.1..oxybis.Octane";"X3.Pyridinecarbonitrile";"X.E..Undec.2.enal";"Deca.2.4.dienal..unknown.isomer.I1.";"Deca.2.4.dienal..unknown.isomer.I2.";"Acide.hexanoique";"dimethylsulfone";"Acide.heptanoique";"X1.Dodecanol";"X2.2..Oxybis.ethanol"
"CS-CB81_T-04_R1.D";"T-";"S1";5519814;1795984;526046;55271385;652225;2178110;1882844;7101930;937987;4623324;7781217;670999;12683449;770607;830664;4725975;1450059;4544651;740113;1865738;552303;19432154;1270619;722988;4926734;738499;1775813;2718226.31387029;1805139.35406368;4085453;12345549;10998718;982339;NA;4043579;3803530;7872064;1833974;1582960;2829207;2537295;7864372;3589701;16493078;7544514;4351581;5103434;3014573;2013094
"CS-CB81_T-05_R2.D";"T-";"S2";5179519;1257124;407148;35098577;591809;1941509;2190784;2731917;1432895;4762428;6739532;738916;3803874;796438;699422;4757463;1287399;4186573;749247;535655;798620;14266247;1079420;444406;3450708;579583;1504429;1062135.6;954055.2;3605187;12618861;11124853;818665;1843302;1381470;3343162;3326081;934018;1688137;2959532;2083285;5307706;4103570;17817777;4315565;4078509;2126610;1930665;1137825
"CS-CB81_T-07_R3.D";"T-";"S3";4042463;1437634;542971;23737797;516242;2123451;1475974;1621783;NA;4423073;7285145;595191;1951198;626850;513915;4726078;1406004;3682117;629755;436212;561705;4162089;1027181;441656;2999691;495693;1598976;2613278.50946969;954055.214460258;3802000;11631603;10501826;825340;1814200;1662360;3653372;2734437;1231021;1178585;2124851;2726329;2300278;2424373;12685190;6065081;3984632;4013825;1591957;1536432
"CS-CB81_T+++11_R1.D";"T+";"S4";3757199;1274806;335537;23174076;592354;1331986;2727537;2481024;1037920;5008943;1993590;1074493;2623365;558539;447641;4775349;719996;3448164;601519;418974;903640;18184438;366600;368115;3468930;491189;1644938;1089967;696816;5420204;4557952;2257960;5006501;1500141;1445456;1134054;3071276;670126;2042094;8563262;2321290;5138197;3137793;6845635;5011808;4098503;1715543;2393666;1646602
"CS-CB81_T+++13_R2.D";"T+";"S5";4235299;1349256;349815;23205784;914311;1380745;2880276;2765203;725062;5167761;2196375;1100289;3083061;540864;553970;4881847;781317;3961763;622910;416122;799090;14702605;289785;371930;4002860;435187;1541582;1912761.3;867026.3;4675136;4452931;2087599;5302776;1446352;1496230;990254;2397406;639885;1651737;4656197;2895970;2809367;2259392;5025132;5835127;4457607;1590847;2405343;1508100
"CS-CB81_T+++14_R3.D";"T+";"S6";3006316;1552232;397462;23681106;1017965;1542317;2750221;2572796;668525;5228474;2348274;1190585;2701927;588476;480751;5235758;774827;4193413;581174;418856;723034;14026027;326315;363824;4155276;475247;1592154;1917974.4;896720.5;4914904;4328132;2238491;5180442;1338371;1478519;1012994;1923646;653270;1766657;3827333;2757115;1933450;2345224;5361358;5788212;4212727;1718707;2600585;1654181
